ID,Year,Week,Week Start Date,Week End Date,Positive
0,2015,40,28/09/2015,4/10/2015,0
1,2015,41,5/10/2015,11/10/2015,0
2,2015,42,12/10/2015,18/10/2015,1
3,2015,43,19/10/2015,25/10/2015,0
4,2015,44,26/10/2015,1/11/2015,1
5,2015,45,2/11/2015,8/11/2015,1
6,2015,46,9/11/2015,15/11/2015,0
7,2015,47,15/11/2015,22/11/2015,0
8,2015,48,23/11/2015,29/11/2015,0
9,2015,49,30/11/2015,6/12/2015,1
10,2015,50,7/12/2015,13/12/2015,6
11,2015,51,14/12/2015,20/12/2015,29
12,2015,52,21/12/2015,27/12/2015,40
13,2015,53,28/12/2015,3/1/2016,39
14,2016,1,4/1/2016,10/1/2016,81
15,2016,2,11/1/2016,17/01/2016,108
16,2016,3,18/01/2016,24/01/2016,86
17,2016,4,25/01/2016,31/01/2016,60
18,2016,5,1/2/2016,7/2/2016,59
19,2016,6,8/2/2016,14/02/2016,35
20,2016,7,15/02/2016,21/02/2016,50
21,2016,8,22/02/2016,28/02/2016,47
22,2016,9,29/02/2016,6/3/2016,22
23,2016,10,7/3/2016,13/03/2016,31
24,2016,11,14/03/2016,20/03/2016,38
25,2016,12,21/03/2016,27/03/2016,22
26,2016,13,28/03/2016,3/4/2016,17
27,2016,14,4/4/2016,10/4/2016,10
28,2016,15,11/4/2016,17/04/2016,8
29,2016,16,18/04/2016,24/04/2016,2
30,2016,17,25/04/2016,1/5/2016,0
31,2016,18,2/5/2016,8/5/2016,1
32,2016,19,9/5/2016,15/05/2016,0
33,2016,20,16/05/2016,22/05/2016,0
34,2016,21,23/05/2016,29/05/2016,0
35,2016,22,30/05/2016,5/6/2016,0
36,2016,23,6/6/2016,12/6/2016,0
37,2016,24,13/06/2016,19/06/2016,0
38,2016,25,20/06/2016,26/06/2016,0
39,2016,26,27/06/2016,3/7/2016,0
40,2016,27,4/7/2016,10/7/2016,0
41,2016,28,11/7/2016,17/07/2016,0
42,2016,29,18/07/2016,24/07/2016,0
43,2016,30,25/07/2016,31/07/2016,0
44,2016,31,1/7/2016,7/8/2016,0
45,2016,32,8/8/2016,14/08/2016,0
46,2016,33,15/08/2016,21/08/2016,0
47,2016,34,22/08/2016,28/08/2016,0
48,2016,35,29/08/2016,4/9/2016,0
49,2016,36,5/9/2016,11/9/2016,0
50,2016,37,12/9/2016,18/09/2016,0
51,2016,38,19/09/2016,25/09/2016,0
52,2016,39,26/09/2016,2/10/2016,0
53,2016,40,3/10/2016,9/10/2016,0
54,2016,41,10/10/2016,16/10/2016,0
55,2016,42,17/10/2016,23/10/2016,0
56,2016,43,24/10/2016,30/10/2016,1
57,2016,44,31/10/2016,6/11/2016,0
58,2016,45,7/11/2016,13/11/2016,0
59,2016,46,14/11/2016,20/11/2016,0
60,2016,47,21/11/2016,27/11/2016,4
61,2016,48,28/11/2016,4/12/2016,7
62,2016,49,5/12/2016,11/12/2016,15
63,2016,50,12/12/2016,18/12/2016,25
64,2016,51,19/12/2016,25/12/2016,47
65,2016,52,26/12/2016,1/1/2017,71
66,2017,1,2/1/2017,8/1/2017,103
67,2017,2,9/1/2017,15/01/2017,99
68,2017,3,16/01/2017,22/01/2017,89
